,ID,family,individual,pixel.correction,standard.length.raw,body.depth.raw,standard.length,body.depth,melanophores,note,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
11,F2-11-5,11,5,888.081,4241.14,934.942,4.775622944,1.052766583,30,,4.8103720269,1.4931070477,4.4455404406,1.2836666926,4.0671965733,1.1958368662,3.0943123431,1.0944947589,2.5673333851,1.1282754614,1.7971333696,1.2228614282,0.6350772058,1.607961436,0.3107824624,1.7025474028,0.0540491239,1.7836210886,0.2972701814,1.8849631959,0.513466677,1.9052316174,1.3714965189,2.1889895178,2.8713597071,2.2092579393,3.1551176075,2.1619649559,3.8915369206,1.9592807413,4.5671509693,1.7903772291,4.4387843001,1.4323017833,4.0131474494,1.4120333618,3.175386029,1.567424593
12,F2-11-6,11,6,864,3324.655,732.221,3.847980324,0.8474780093,38,,4.125,1.5555555556,3.7986111111,1.3472222222,3.3611111111,1.2222222222,2.625,1.1805555556,2.2361111111,1.2083333333,1.6597222222,1.2847222222,0.8055555556,1.5347222222,0.3680555556,1.5972222222,0.2430555556,1.6458333333,0.4236111111,1.7638888889,0.7361111111,1.7708333333,1.375,1.9722222222,2.4236111111,2.0625,2.6666666667,2.0277777778,3.1597222222,1.8819444444,3.8472222222,1.8333333333,3.7847222222,1.3958333333,3.3958333333,1.375,2.6944444444,1.4305555556
13,F2-11-7,11,7,858.336,3402.529,799.825,3.964099141,0.9318320564,27,,4.0613466055,1.3141706744,3.746784476,1.1254333967,3.3413488424,0.9996085449,2.5304775752,0.9506766581,2.104071133,0.9996085449,1.4330052567,1.0695112404,0.4194161727,1.2722290572,0.2097080863,1.2931998658,0.0978637736,1.3631025612,0.2097080863,1.4469857958,0.4683480595,1.5029079521,1.090482049,1.7615479253,2.4046527234,1.9432949335,2.6143608098,1.8803825075,3.2225142601,1.6706744212,3.823677441,1.5728106476,3.7328039369,1.2163069008,3.348339112,1.1953360922,2.6982440443,1.2862095962
14,F2-11-8,11,8,864.333,3000.024,708.025,3.470912253,0.8191576626,35,,4.0956436929,1.6313157082,3.7485552443,1.436946177,3.4222921027,1.3328196424,2.7072898987,1.207867801,2.3324343743,1.2356348768,1.8326270083,1.3050525665,1.0412653456,1.5271891736,0.7358275109,1.5410727116,0.6525262833,1.6243739392,0.728885742,1.6868498599,0.9163135042,1.7215587048,1.6451992461,1.908986467,2.4296191398,2.0825306913,2.7350569746,2.0408800775,3.1307378059,1.9784041567,3.8110311651,1.915928236,3.7554970133,1.6035486323,3.3875832578,1.6174321702,2.7142316677,1.6313157082
15,F2-11-9,11,9,888.182,4158.974,966.298,4.682569563,1.087950443,48,,4.7692927801,1.641555447,4.411258053,1.4591603973,4.0329572092,1.3578298142,3.1412480775,1.2024562533,2.6278397896,1.1889455089,1.8307058688,1.22272237,0.5606958934,1.4794265139,0.2837256328,1.4929372584,0.0810644665,1.5942678415,0.2769702606,1.6550661914,0.5539405212,1.6888430524,1.3510744419,1.9995901741,2.769702606,2.2833158069,3.154758822,2.2427835736,3.9248712539,2.0468777796,4.4923225195,1.9523025686,4.4045026808,1.5942678415,3.9789142315,1.546980236,3.188535683,1.6888430524
16,F2-13-1,13,1,870.186,3156.006,798.361,3.626817715,0.9174601752,22,,4.0956760968,1.6410284698,3.7302369838,1.4410712193,3.3716929484,1.3169598224,2.7028704208,1.1721631927,2.2684805317,1.1928484255,1.7927201771,1.2549041239,1.0480517958,1.4824416849,0.6205569844,1.5858678489,0.5033406651,1.6479235474,0.6205569844,1.7306644786,0.8756748557,1.7513497114,1.5582875385,1.9375168068,2.3788017734,2.1167888245,2.8062965849,2.0409429708,3.1165750771,2.0064675828,3.8060828375,1.9168315739,3.7371320614,1.5927629265,3.3716929484,1.5927629265,2.6339196448,1.6479235474
17,F2-13-10,13,10,865.686,3330.346,900.72,3.847060019,1.040469639,40,,4.1516207955,1.6842134446,3.721903785,1.4554931003,3.3545650501,1.3376674683,2.6476112586,1.1921181583,2.2109633285,1.1921181583,1.663420686,1.3030128707,0.6168518377,1.6564897665,0.4643716082,1.6564897665,0.2841677005,1.7535226398,0.4990262058,1.8297627546,0.6099209182,1.8366936741,1.4000457441,2.0862067771,2.3149271214,2.204032409,2.7099895343,2.1901705699,3.0288118325,2.0515521794,3.8397294169,1.9891739037,3.721903785,1.6010424103,3.3199104525,1.5594568931,2.5783020633,1.6564897665
18,F2-13-11,13,11,882.734,1611.623,836.155,1.8257176,0.9472332549,NA,pacman fish,1.1758921714,1.6109043041,1.4137894315,1.4885571418,1.7672367893,1.3798041086,2.1750606638,1.2914422691,2.4129579239,1.2574569463,2.6304639903,1.230268688,2.8819553795,1.3933982377,2.9431289607,1.4681659481,2.9839113482,1.4953542064,2.9295348316,1.5429336584,2.8479700567,1.6380925624,2.8615641858,1.8352074351,2.3042048907,2.2566254387,2.1206841472,2.1614665347,1.597310175,1.91677221,1.3050363983,1.8623956934,1.4137894315,1.5633248521,1.7672367893,1.5361365938,2.236234245,1.6380925624
19,F2-13-12,13,12,888.507,3702.005,894.725,4.166545677,1.006998257,46,,4.2948451729,1.6612136989,3.9166827048,1.4383679588,3.5520260392,1.3438273418,2.7686894982,1.1682519102,2.322998018,1.1817577127,1.6477078965,1.256039626,0.5469849984,1.5599201807,0.3173863571,1.5734259831,0.1485638267,1.6747195014,0.3241392583,1.7287427111,0.5672437021,1.7557543159,1.316815737,2.0461290682,2.4377973387,2.2149515986,2.856477214,2.133916784,3.4709912246,2.0191174633,4.0652465315,1.9380826488,3.9166827048,1.5801788844,3.5115086319,1.6071904892,2.7889482019,1.6544607977
20,F2-13-13,13,13,888.729,4182.108,942.306,4.705717941,1.060284969,24,,4.7798597773,1.6675499505,4.307274771,1.3434916606,3.9292067661,1.1747113012,3.0312952542,0.9789260843,2.5182029618,0.9924285131,1.7688181662,1.0869455143,0.6143605081,1.4920183768,0.2565461462,1.5730329493,0.0742633581,1.6743011649,0.2632973606,1.7553157374,0.5671020075,1.7620669518,1.4650135193,1.9848570262,2.5992175343,2.1131300993,2.990787968,2.0523691699,3.5916460473,1.9848570262,4.4355478442,1.9578521687,4.307274771,1.5190232343,3.8481921936,1.4920183768,2.9772855392,1.4582623049
