population,individual,sex,species,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,notes
SR2014,69,,B,4885,1911.151,405.1,396.011,233.692,262.975,88.589,394.406,426.011,4.49,0.95,0.93,0.5485586053,0.617,0.2079500295,0.9258117748,
SR2014,70,,B,4889,1719.262,381.012,384,204.793,184.835,69.971,193.494,423.096,4.06,0.9,0.91,0.4840343563,0.437,0.1653785429,0.4573288332,
SR2014,71,,B,4892,1775.372,387.012,393,159.424,150.36,60,264.068,429,4.14,0.9,0.92,0.3716177156,0.35,0.1398601399,0.6155431235,
SR2014,72,,B,4895,1735.372,363.012,360.05,182.483,188.308,72.25,177.178,429.01,4.05,0.85,0.84,0.4253583833,0.439,0.1684109928,0.4129927041,
SR2014,73,,B,4897,1668.529,390.012,408.011,151.076,148.189,67.082,240.075,423.011,3.94,0.92,0.96,0.3571443769,0.35,0.1585821645,0.5675384328,
SR2014,74,,B,4899,1734.314,381,393.046,218.073,238.948,89.196,223.213,423.011,4.1,0.9,0.93,0.515525601,0.565,0.2108597649,0.5276765852,
SR2014,75,,B,4900,1899.073,429.514,432.666,175.647,185.224,46.861,226.177,423.043,4.49,1.02,1.02,0.4151989278,0.438,0.1107712455,0.5346430505,
SR2014,5,,B,9,1551.29,357.113,363.112,165.952,198.635,91.389,249.704,393.011,3.95,0.91,0.92,0.4222579012,0.505,0.2325354761,0.6353613512,
TC,1,,B,27,2277.828,544.059,550.091,260.768,284.703,86.533,404.317,392.02,5.81,1.39,1.4,0.6651905515,0.726,0.2207361869,1.031368298,"""Twin culverts"""
TC,2,,B,28,2675.986,582.055,578.003,261.84,268.477,84.38,360,392.184,6.82,1.48,1.47,0.6676457989,0.685,0.2151541113,0.9179364788,
TC,3,,B,29,2373.707,562.004,552.13,248.676,301.144,50.596,412.078,390.082,6.09,1.44,1.42,0.6374967315,0.772,0.1297060618,1.056388144,
TC,4,,B,30,2732.709,580,584.031,204.9,223.786,68,548.015,392,6.97,1.48,1.49,0.5227040816,0.571,0.1734693878,1.397997449,
TC,5,,B,31,2041.342,482.037,492.796,249.704,317.918,86.533,360.2,392.046,5.21,1.23,1.26,0.6369252588,0.811,0.220721548,0.9187697362,
TC,6,,B,32,2172.446,494.514,495.52,221.883,248.676,73.756,344.209,388.021,5.6,1.27,1.28,0.5718324524,0.641,0.1900824955,0.8870885854,
TC,7,,B,33,2492.585,596.013,588.085,197.342,255.812,67.882,344.372,394.02,6.33,1.51,1.49,0.5008425968,0.649,0.1722805949,0.8739962438,
TC,8,,B,34,2240.943,524.061,518.004,278.568,312.64,72.111,416.077,390.005,5.75,1.34,1.33,0.7142677658,0.802,0.1848976295,1.066850425,
TC,9,,B,35,1922.004,474.152,470.272,216.481,194.031,61.057,356.561,390.021,4.93,1.22,1.21,0.5550495999,0.497,0.1565479807,0.9142097477,
TC,10,,B,36,2029.699,450.289,432.759,206.495,247.257,55.57,338.869,390.128,5.2,1.15,1.11,0.5293006398,0.634,0.1424404298,0.8686097896,
TC,11,,B,37,2204.4,554.437,540.059,216.481,239.633,80.994,432.019,390.046,5.65,1.42,1.38,0.555014024,0.614,0.2076524307,1.107610384,
TC,12,,B,38,1910.846,444.005,464.004,228.035,267.013,84.853,360.378,386.021,4.95,1.15,1.2,0.5907321104,0.692,0.2198144661,0.9335709715,
TC,13,,B,39,1893.447,451.136,434.461,191.416,204.353,72.111,376.34,388.186,4.88,1.16,1.12,0.4931038214,0.526,0.1857640409,0.9694837011,
TC,13A,,B,40,2163.221,466.275,492.065,278.539,256.125,55.714,397.291,390.021,5.55,1.2,1.26,0.7141641091,0.657,0.1428487184,1.018640022,
TC,14,,B,41,2102.137,520.015,522.015,251.873,277.417,93.295,397.19,392.046,5.36,1.33,1.33,0.6424577728,0.708,0.237969524,1.013120909,
TC,15,,B,42,2186.484,484.037,456.004,252.539,281.368,66.573,332.217,388.005,5.64,1.25,1.18,0.6508653239,0.725,0.1715776859,0.8562183477,
TC,16,,B,43,1985.392,432,412,246.349,251.205,55.57,317.616,388.005,5.12,1.11,1.06,0.6349119212,0.647,0.1432198039,0.8185873893,
TC,17,,B,44,2231.6,512.472,511.414,289.8,284.675,103.228,412.388,390.005,5.72,1.31,1.31,0.7430673966,0.73,0.2646837861,1.057391572,
TC,18,,B,45,2238.254,510.474,491.178,233.238,286.44,79.196,79.196,388.021,5.77,1.32,1.27,0.6010963324,0.738,0.2041023553,0.2041023553,
TC,19,,B,46,2085.341,474.004,474.105,248.129,288.943,68.118,389.317,388.021,5.37,1.22,1.22,0.6394731213,0.745,0.1755523541,1.003340025,
TC,20,,B,47,2079.071,499.448,504.603,245.862,246.739,70.88,393.08,390.046,5.33,1.28,1.29,0.6303410367,0.633,0.1817221558,1.00777857,
TC,21,,B,48,2163.014,528.401,516.236,251.746,309.658,125.539,449.8,390.185,5.54,1.35,1.32,0.6451965093,0.794,0.3217422505,1.152786499,
