population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
BR,34,,C,,,,,,,,,,,,,,,,,,5.6333001069,1.3069409175,
BR,35,,C,,,,,,,,,,,,,,,,,,5.0730192088,1.0969283801,
BR,36,M,C,1,,,,,,,,,,,,,,,,,5.1743534233,1.1869073852,1
BR,37,F,C,1,,,,,,,,,,,,,,,,,5.6996371313,1.4015570275,1
BR,38,,C,,,,,,,,,,,,,,,,,,5.6995854645,1.3177331922,
BR,39,,C,,,,,,,,,,,,,,,,,,5.2577333333,1.1744589744,
BR,40,,C,,,,,,,,,,,,,,,,,,5.4251381393,1.2605735824,
BR,41,,C,,,,,,,,,,,,,,,,,,5.6461805334,1.347008329,
BR,42,,C,,,,,,,,,,,,,,,,,,5.1326709304,1.2473148571,
BR,43,,C,,,,,,,,,,,,,,,,,,5.7914513916,1.2975808002,
BR,44,,C,,,,,,,,,,,,,,,,,,5.8375215694,1.3435174003,
BR,45,,C,,,,,,,,,,,,,,,,,,5.0460923899,1.1654064781,
BR,46,,C,,,,,,,,,,,,,,,,,,5.2322739452,1.2018358739,
BR,47,,C,,,,,,,,,,,,,,,,,,5.3319352076,1.220466304,
BR,48,,C,,,,,,,,,,,,,,,,,,6.2466050695,1.4054509607,
BR,49,,C,,,,,,,,,,,,,,,,,,6.2354794872,1.4114410256,
BR,50,,C,,,,,,,,,,,,,,,,,,5.3402811777,1.1750197123,
BR,51,,C,,,,,,,,,,,,,,,,,,5.4453400324,1.3081574223,
BR,52,,C,,,,,,,,,,,,,,,,,,5.2928463323,1.2503706229,
BR,53,,C,,,,,,,,,,,,,,,,,,5.2816996385,1.2866654437,
BR,54,,C,,,,,,,,,,,,,,,,,,5.6262499615,1.3230592905,
BR,55,,C,,,,,,,,,,,,,,,,,,5.4091460366,1.1899052576,
BR,56,,C,,,,,,,,,,,,,,,,,,5.0937282864,1.1907845988,
BR,57,,C,,,,,,,,,,,,,,,,,,6.1543322183,1.3967519315,
BR,58,,C,,,,,,,,,,,,,,,,,,5.2062091045,1.1752936825,
BR,59,,C,,,,,,,,,,,,,,,,,,4.8263401201,1.1523584627,
BR,60,,C,,,,,,,,,,,,,,,,,,6.2247275276,1.3763688048,
BR,61,,C,,,,,,,,,,,,,,,,,,5.2863373546,1.1389212959,
BR,62,,C,,,,,,,,,,,,,,,,,,5.5926497344,1.3849081788,
BR,63,,C,,,,,,,,,,,,,,,,,,5.6878184428,1.3251628134,
BR,64,,C,,,,,,,,,,,,,,,,,,5.121888758,1.1886462303,
BR,65,,C,,,,,,,,,,,,,,,,,,5.2699334931,1.2329151556,
BR,66,,C,,,,,,,,,,,,,,,,,,5.2057607154,1.169167814,
BR,67,,C,,,,,,,,,,,,,,,,,,5.623875981,1.2735557531,
BR,68,,C,,,,,,,,,,,,,,,,,,5.5097746143,1.2738902089,
BR,69,,C,,,,,,,,,,,,,,,,,,5.8145372597,1.3968275537,
BR,70,,C,,,,,,,,,,,,,,,,,,5.7246900668,1.2756083873,
CB,1,,C,,,,,,,,,,,,,,,,,,3.8867633588,0.926216285,
CL,1,,B,,,,,,,,,,,,,,,,,,4.6650203562,1.0381959288,
CL,2,,B,,,,,,,,,,,,,,,,,,3.9173789029,0.9007712252,
CL,3,,B,,,,,,,,,,,,,,,,,,4.2046736076,0.9848514309,
