population,individual,DSC code,Folder,
SR2014,70,4889,ROOT,
SR2014,71,4892,ROOT,
SR2014,72,4895,ROOT,
SR2014,73,4897,ROOT,
SR2014,74,4899,ROOT,
SR2014,75,4900,ROOT,
PR,17,4903,ROOT,
PR,18,4905,ROOT,
PR,19,4907,ROOT,
PR,20,4909,ROOT,
PR,21,4910,ROOT,
PR,22,4912,ROOT,
PR,23,4915,ROOT,
PR,24,4917,ROOT,
PR,25,4918,ROOT,
PR,26,4919,ROOT,
PR,27,4921,ROOT,
PR,28,4923,ROOT,
PR,29,4924,ROOT,
PR,30,4926,ROOT,
PR,31,4928,ROOT,
PR,32,4932,ROOT,
PR,33,4934,ROOT,
PR,34,4936,ROOT,
PR,35,4939,ROOT,
PR,36,4941,ROOT,
PR,37,4942,ROOT,
PR,38,4945,ROOT,
PR,39,4946,ROOT,
PR,40,4948,ROOT,
PR,41,4949,ROOT,
PR,42,4951,ROOT,
PR,43,4955,ROOT,
PR,44,4957,ROOT,
PR,45,4980,ROOT,
PR,46,4961,ROOT,
PR,47,4963,ROOT,
PR,48,4965,ROOT,
PR,49,4967,ROOT,
PR,50,4969,ROOT,
PR,51,4970,ROOT,
PR,52,4972,ROOT,
PR,53,4975,ROOT,
PR,54,4977,ROOT,
PR,55,4978,ROOT,
PR,56,4981,ROOT,
PR,57,4983,ROOT,
PR,58,4986,ROOT,
PR,59,4989,ROOT,
PR,60,4990,ROOT,
PR,61,4992,ROOT,
PR,62,4993,ROOT,
PR,63,4994,ROOT,
PR,64,4996,ROOT,
PR,65,4998,ROOT,
MR,1,4999,ROOT,
MR,2,5000,ROOT,
MR,3,5002,ROOT,
MR,4,5004,ROOT,
MR,5,5006,ROOT,
MR,6,5011,ROOT,
MR,7,5008,ROOT,
MR,8,5007,ROOT,
MR,9,5013,ROOT,
MR,10,5015,ROOT,
MR,11,5021,ROOT,
MR,12,5023,ROOT,
MR,13,5025,ROOT,
MR,14,5027,ROOT,
MR,15,5029,ROOT,
MR,16,5030,ROOT,
MR,17,5032,ROOT,
MR,18,5033,ROOT,
MR,19,5037,ROOT,
MR,20,5039,ROOT,
MR,21,5040,ROOT,
PR,66,5041,ROOT,
PR,67,5043,ROOT,
PR,68,5045,ROOT,
PR,69,5047,ROOT,
PR,70,5049,ROOT,
PR,71,5052,ROOT,
PR,72,5054,ROOT,
PR,73,5056,ROOT,
PR,74,5058,ROOT,
PR,75,5060,ROOT,
PR,76,5063,ROOT,
PR,77,5064,ROOT,
PR,78,5066,ROOT,
PR,79,5068,ROOT,
PR,80,5070,ROOT,
PR,81,5072,ROOT,
PR,82,5075,ROOT,
PR,83,5080,ROOT,
PR,84,5083,ROOT,
PR,85,5086,ROOT,
PR,86,5087,ROOT,
PR,87,5089,ROOT,
PR,88,5090,ROOT,
PR,89,5091,ROOT,
PR,90,5097,ROOT,
PR,99,5077,ROOT,
CPN,1,5100,ROOT,
CPN,2,5101,ROOT,
CPN,3,5102,ROOT,
CPN,4,5103,ROOT,
CPN,5,5104,ROOT,
CPN,6,5107,ROOT,
CPN,7,5108,ROOT,
CPN,8,5109,ROOT,
CPN,9,5111,ROOT,
CPN,10,5113,ROOT,
CPN,11,5114,ROOT,
CPN,12,5115,ROOT,
CPN,13,5116,ROOT,
CPN,14,5118,ROOT,
CPN,15,5119,ROOT,
CPN,16,5120,ROOT,
CPN,17,5122,ROOT,
CPN,18,5123,ROOT,
CPN,19,5124,ROOT,
CPN,20,5125,ROOT,
CPN,21,5126,ROOT,
CPN,22,5127,ROOT,
CPN,23,5128,ROOT,
CPN,24,5130,ROOT,
CPN,25,5131,ROOT,
SF2014,1,5137,ROOT,
SF2014,2,5132,ROOT,
SF2014,3,5133,ROOT,
SF2014,4,5134,ROOT,
SF2014,5,5135,ROOT,
SF2014,6,N,ROOT,
SF2014,7,5136,ROOT,
AL2014,34,5252,ROOT,
AL2014,35,5533,ROOT,
AL2014,36,5254,ROOT,
AL2014,37,5255,ROOT,
AL2014,38,5256,ROOT,
AL2014,39,5257,ROOT,
AL2014,40,5258,ROOT,
AL2014,41,5259,ROOT,
AL2014,42,5260,ROOT,
AL2014,43,5261,ROOT,
AL2014,44,5262,ROOT,
AL2014,45,5263,ROOT,
CL,1,5233,ROOT,
CL,2,5236,ROOT,
CL,3,5237,ROOT,
CL,4,5239,ROOT,
CL,5,5240,ROOT,
CL,6,5241,ROOT,
CL,7,5242,ROOT,
CL,8,5243,ROOT,
CL,9,5244,ROOT,
CL,10,5245,ROOT,
CL,11,5247,ROOT,
CL,12,5248,ROOT,
CL,13,5250,ROOT,
CL,14,5251,ROOT,
CL,16,5264,ROOT,
CL,17,5265,ROOT,
CL,18,5267,ROOT,
CL,19,5268,ROOT,
CL,20,5269,ROOT,
CL,21,5270,ROOT,
CL,22,5271,ROOT,
CL,23,5272,ROOT,
CL,24,5273,ROOT,
CL,25,5276,ROOT,
CL,26,5277,ROOT,
CL,27,5278,ROOT,
CL,28,5279,ROOT,
CL,29,5280,ROOT,
CL,30,5281,ROOT,
CL,31,5282,ROOT,
CL,32,5283,ROOT,
CL,33,5284,ROOT,
CL,34,5285,ROOT,
CL,35,5286,ROOT,
CL,36,5287,ROOT,
CL,37,5288,ROOT,
CL,38,5289,ROOT,
CL,39,5290,ROOT,
CL,40,5292,ROOT,
CL,41,5294,ROOT,
CL,42,5295,ROOT,
CL,43,5297,ROOT,
CL,44,5298,ROOT,
CL,45,5299,ROOT,
CL,46,5300,ROOT,
CL,47,5302,ROOT,
CL,48,5304,ROOT,
CL,49,5306,ROOT,
CL,50,5308,ROOT,
CL,51,5309,ROOT,
CL,52,N,ROOT,
CL,53,5312,ROOT,
CL,54,5312,ROOT,CHECK
CL,55,5313,ROOT,
CL,56,5314,ROOT,
CL,57,5315,ROOT,
CL,58,5316,ROOT,
CL,59,5318,ROOT,
CL,60,5319,ROOT,
CL,61,5322,ROOT,
CL,62,5323,ROOT,
CL,63,5324,ROOT,
CL,64,5325,ROOT,
CL,65,5327,ROOT,
MR,22,5329,ROOT,
MR,23,5330,ROOT,
MR,24,5331,ROOT,
MR,25,5332,ROOT,
MR,26,5334,ROOT,
MR,27,5335,ROOT,
MR,28,5336,ROOT,
MR,29,5337,ROOT,
MR,30,5338,ROOT,
MR,31,5340,ROOT,
MR,32,5341,ROOT,
MR,33,5342,ROOT,
MR,34,5343,ROOT,
MR,35,5345,ROOT,
MR,36,5347,ROOT,
MR,37,5348,ROOT,
MR,38,5349,ROOT,
MR,39,5350,ROOT,
MR,40,5352,ROOT,
MR,41,5353,ROOT,
MR,42,5354,ROOT,
MR,43,5357,ROOT,
MR,44,5358,ROOT,
MR,45,5359,ROOT,
MR,46,5361,ROOT,
AL2014,1,5362,ROOT,
AL2014,2,5363,ROOT,
AL2014,3,5364,ROOT,
AL2014,4,5365,ROOT,
AL2014,5,5367,ROOT,
AL2014,6,5368,ROOT,
AL2014,7,5369,ROOT,
AL2014,8,5370,ROOT,
AL2014,9,5371,ROOT,
AL2014,10,5372,ROOT,
AL2014,11,5373,ROOT,
AL2014,12,5374,ROOT,
AL2014,13,5376,ROOT,
AL2014,14,5377,ROOT,
AL2014,15,5379,ROOT,
AL2014,16,5380,ROOT,
AL2014,17,5382,ROOT,
AL2014,18,5384,ROOT,
AL2014,19,5385,ROOT,
AL2014,20,5386,ROOT,
AL2014,21,5387,ROOT,
AL2014,22,5388,ROOT,
AL2014,23,5389,ROOT,
AL2014,24,5392,ROOT,
AL2014,25,5393,ROOT,
AL2014,26,5524,ROOT,
AL2014,27,5525,ROOT,
AL2014,28,5526,ROOT,
AL2014,29,5528,ROOT,
AL2014,30,5529,ROOT,
AL2014,31,5530,ROOT,
AL2014,32,5531,ROOT,
AL2014,33,5532,ROOT,
AL2014,34,5252,ROOT,
AL2014,35,5533,ROOT,
CPS,1,5534,ROOT,
CPS,2,5535,ROOT,
CPS,3,5536,ROOT,
