"","population","individual","species","y.1","x.2","y.2","x.3","y.3","x.4","y.4","x.5","y.5","x.6","y.6","x.7","y.7","x.8","y.8","x.9","y.9","x.10","y.10","x.11","y.11","x.12","y.12","x.13","y.13","x.14","y.14","x.15","y.15","x.16","y.16","x.17","y.17","x.18","y.18","x.19","y.19","notes"
"11","AL-S-2014","2","C",1.33810471053873,2.65570206919181,1.7277443963661,2.86077558804832,2.13789143407912,3.21965424604721,3.10173697270471,3.18889321821873,3.61442076984599,3.14787851444743,4.41420749338638,2.62494104136333,5.58312655086849,2.43012119844964,5.90099050509608,2.24555503147879,6.01378094046716,2.25580870742161,5.76769271783935,2.27631605930726,5.48058979144023,2.21479400365031,4.63978836412854,2.0507351885651,3.57340606607469,2.01997416073662,3.16325902836167,2.03022783667945,2.52753111990649,2.08149621639358,1.70723704448045,2.52240428193507,1.78926645202305,2.55316530976355,2.24042819350737,2.62494104136333,3.17351270430449,""
"12","AL-S-2014","3","C",1.38970082971806,2.75888947006759,1.78968852240444,2.96401136375291,2.12813964698522,3.29220639364943,3.2255417782017,3.34348686707076,3.7998830805206,3.32297467770222,4.57934627652482,2.90247479564731,6.00494343763782,2.77940165943612,6.3433945622186,2.62556023917213,6.53826036121965,2.55376757638227,6.3126262781658,2.5742797657508,5.96391905890075,2.32813349332841,5.03061444263253,2.17429207306442,3.7691147964678,2.13326769432735,3.29733444099156,2.12301159964309,2.77427361209399,2.14352378901162,1.76917633303591,2.62556023917213,1.81020071177297,2.64607242854066,2.29223716193348,2.69735290196199,3.23579787288596,""
"13","AL-S-2014","4","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"14","AL-S-2014","5","C",1.47282254813804,2.7906111438405,1.77255485618017,2.93530949944705,2.11362955153845,3.25571300114725,3.09551125029715,3.24537740431821,3.68464026955237,3.22470621066013,4.59417279050779,2.94564509627608,5.77243082901822,2.89396711213089,6.17551910535074,2.82161793432762,6.39256663876056,2.68725517555011,6.19619029900882,2.58389920725972,5.78276642584726,2.26349570555952,5.03860345415646,2.06711936580778,3.64329788223621,2.06711936580778,3.15752483127138,2.14980414044009,2.51671782787097,2.27383130238856,1.74154806569305,2.62524159457588,1.8345684371544,2.62524159457588,2.22732111665788,2.67691957872107,3.19886721858754,""
"15","AL-S-2014","6","C",1.52303006061352,2.55376757638227,1.88199337456283,2.70760899664626,2.21018840445935,3.00503574248997,3.30759053567583,2.97426745843718,3.85116355394193,2.90247479564731,4.72293160210455,2.55376757638227,5.86135811205809,2.47171881890814,6.16904095258607,2.38967006143401,6.36390675158713,2.28710911459135,6.2203214260074,2.22557254648575,5.79982154395249,1.94865799001056,4.99984615857974,1.85635313785217,3.738346512415,1.89737751658923,3.27682225162303,1.94865799001056,2.70248094930412,1.94865799001056,1.88199337456283,2.36915787206547,1.9845543214055,2.42043834548681,2.36402982472334,2.39992615611827,3.26656615693876,""
"16","AL-S-2014","7","C",1.24667341736082,2.62564687084972,1.59268889646504,2.78847768454583,1.93870437556927,3.02254697923398,2.8953354060339,3.042900830946,3.45506632811427,3.01237005337798,4.28957424830681,2.5951160932817,5.34797453733151,2.55440838985768,5.66345923886772,2.46281605715362,5.88735160769986,2.33051602102553,5.71434386814775,2.29998524345751,5.41921301832356,2.03538517120134,4.63558972741104,1.90308513507325,3.32276629198618,1.91326206092926,2.90551233188991,1.9845005419213,2.40684296494558,2.1371544297614,1.55198119304102,2.50352376057764,1.65375045160108,2.49334683472164,2.05065055998535,2.50352376057764,2.92586618360192,""
"17","AL-S-2014","8","C",1.25626208190829,2.98426339457397,1.72800131266569,3.12783620393492,2.10744373740533,3.29191941463315,3.15347420560652,3.26115381262723,3.70725504171303,3.19962260861539,4.42511908851776,2.98426339457397,5.70701917209765,3.02528419724853,6.04544079416274,2.94324259189942,6.23003440619824,2.83043538454439,6.07620639616866,2.6766073745148,5.73778477410357,2.2561441471006,4.79430631258877,2.15359214041421,3.60470303502664,2.15359214041421,3.18423980761244,2.23563374576332,2.35356855345267,2.35869615378699,1.62544930597929,2.83043538454439,1.74851171400296,2.83043538454439,2.230506145429,2.75864897986391,3.21500540961835,""
"18","AL-S-2014","9","C",1.76205990486943,2.93504406441595,2.20645037941129,3.04872534860107,2.60950220515855,3.25541859257403,3.60162977622873,3.19341061938214,4.180370859353,3.12106798399161,4.98647451084752,3.03839068640243,6.07161404170553,3.13140264619026,6.45399654305549,3.15207197058755,6.68135911142574,2.9247094022173,6.58834715163791,2.65600818505246,6.13362201489741,2.20128304831196,5.26551039021101,2.12894041292143,4.00468160197599,2.12894041292143,3.60162977622873,2.24262169710655,2.8161954491315,2.37697230568897,2.10310375742481,2.79035879363488,2.23745436600723,2.80069345583353,2.67151017835043,2.75935480703894,3.61196443842737,""
"19","AL2014","1","B",3.29078014184397,2.43971631205674,3.02127659574468,2.95035460992908,2.83687943262411,3.97163120567376,2.60992907801418,4.65248226950355,2.56737588652482,5.80141843971631,2.66666666666667,7.26241134751773,2.90780141843972,7.63120567375887,2.90780141843972,7.87234042553191,3.0354609929078,7.71631205673759,3.14893617021277,7.27659574468085,3.29078014184397,6.4113475177305,3.74468085106383,4.4822695035461,4.04255319148936,3.85815602836879,4.02836879432624,3.06382978723404,3.85815602836879,2.19858156028369,3.68794326241135,2.45390070921986,3.19148936170213,2.93617021276596,3.14893617021277,4.01418439716312,3.27659574468085,""
"20","AL2014","10","B",3.10370340603674,2.27636434121354,2.84131873119281,2.74440186931352,2.68530622182615,3.77975761329227,2.51511075706252,4.49599686083921,2.50801927936404,5.41079748394371,2.56475110095191,6.54543391570124,2.84131873119281,7.29003907404212,2.97605680746402,7.41768567261484,3.08242897294129,7.2545816855497,3.21716704921249,6.85036745673608,3.27389887080037,5.99229865521945,3.61428980032763,4.27616105218618,3.86958299747307,3.7655746578953,3.81285117588519,2.96423767796654,3.64265571112156,2.16999217573627,3.45118581326248,2.29054729661051,3.06115453984583,2.73021891391655,3.10370340603674,3.80103204638772,3.15334374992613,""
