,population,individual,species,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
11,AL-S-2014,2,C,2.358345467,1.338104711,2.655702069,1.727744396,2.860775588,2.137891434,3.219654246,3.101736973,3.188893218,3.61442077,3.147878514,4.414207493,2.624941041,5.583126551,2.430121198,5.900990505,2.245555031,6.01378094,2.255808707,5.767692718,2.276316059,5.480589791,2.214794004,4.639788364,2.050735189,3.573406066,2.019974161,3.163259028,2.030227837,2.52753112,2.081496216,1.707237044,2.522404282,1.789266452,2.55316531,2.240428194,2.624941041,3.173512704
12,AL-S-2014,3,C,2.440950535,1.38970083,2.75888947,1.789688522,2.964011364,2.128139647,3.292206394,3.225541778,3.343486867,3.799883081,3.322974678,4.579346277,2.902474796,6.004943438,2.779401659,6.343394562,2.625560239,6.538260361,2.553767576,6.312626278,2.574279766,5.963919059,2.328133493,5.030614443,2.174292073,3.769114796,2.133267694,3.297334441,2.1230116,2.774273612,2.143523789,1.769176333,2.625560239,1.810200712,2.646072429,2.292237162,2.697352902,3.235797873
13,AL-S-2014,4,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,AL-S-2014,5,C,2.594234804,1.472822548,2.790611144,1.772554856,2.935309499,2.113629552,3.255713001,3.09551125,3.245377404,3.68464027,3.224706211,4.594172791,2.945645096,5.772430829,2.893967112,6.175519105,2.821617934,6.392566639,2.687255176,6.196190299,2.583899207,5.782766426,2.263495706,5.038603454,2.067119366,3.643297882,2.067119366,3.157524831,2.14980414,2.516717828,2.273831302,1.741548066,2.625241595,1.834568437,2.625241595,2.227321117,2.676919579,3.198867219
15,AL-S-2014,6,C,2.287109115,1.523030061,2.553767576,1.881993375,2.707608997,2.210188404,3.005035742,3.307590536,2.974267458,3.851163554,2.902474796,4.722931602,2.553767576,5.861358112,2.471718819,6.169040953,2.389670061,6.363906752,2.287109115,6.220321426,2.225572546,5.799821544,1.94865799,4.999846159,1.856353138,3.738346512,1.897377517,3.276822252,1.94865799,2.702480949,1.94865799,1.881993375,2.369157872,1.984554321,2.420438345,2.364029825,2.399926156,3.266566157
16,AL-S-2014,7,C,2.442462205,1.246673417,2.625646871,1.592688896,2.788477685,1.938704376,3.022546979,2.895335406,3.042900831,3.455066328,3.012370053,4.289574248,2.595116093,5.347974537,2.55440839,5.663459239,2.462816057,5.887351608,2.330516021,5.714343868,2.299985243,5.419213018,2.035385171,4.635589727,1.903085135,3.322766292,1.913262061,2.905512332,1.984500542,2.406842965,2.13715443,1.551981193,2.503523761,1.653750452,2.493346835,2.05065056,2.503523761,2.925866184
17,AL-S-2014,8,C,2.727883378,1.256262082,2.984263395,1.728001313,3.127836204,2.107443737,3.291919415,3.153474206,3.261153813,3.707255042,3.199622609,4.425119089,2.984263395,5.707019172,3.025284197,6.045440794,2.943242592,6.230034406,2.830435385,6.076206396,2.676607375,5.737784774,2.256144147,4.794306313,2.15359214,3.604703035,2.15359214,3.184239808,2.235633746,2.353568553,2.358696154,1.625449306,2.830435385,1.748511714,2.830435385,2.230506145,2.75864898,3.21500541
18,AL-S-2014,9,C,2.72835082,1.762059905,2.935044064,2.206450379,3.048725349,2.609502205,3.255418593,3.601629776,3.193410619,4.180370859,3.121067984,4.986474511,3.038390686,6.071614042,3.131402646,6.453996543,3.152071971,6.681359111,2.924709402,6.588347152,2.656008185,6.133622015,2.201283048,5.26551039,2.128940413,4.004681602,2.128940413,3.601629776,2.242621697,2.816195449,2.376972306,2.103103757,2.790358794,2.237454366,2.800693456,2.671510178,2.759354807,3.611964438
19,AL2014,1,B,1.929078014,3.290780142,2.439716312,3.021276596,2.95035461,2.836879433,3.971631206,2.609929078,4.65248227,2.567375887,5.80141844,2.666666667,7.262411348,2.907801418,7.631205674,2.907801418,7.872340426,3.035460993,7.716312057,3.14893617,7.276595745,3.290780142,6.411347518,3.744680851,4.482269504,4.042553191,3.858156028,4.028368794,3.063829787,3.858156028,2.19858156,3.687943262,2.453900709,3.191489362,2.936170213,3.14893617,4.014184397,3.276595745
20,AL2014,10,B,1.850875679,3.103703406,2.276364341,2.841318731,2.744401869,2.685306222,3.779757613,2.515110757,4.495996861,2.508019279,5.410797484,2.564751101,6.545433916,2.841318731,7.290039074,2.976056807,7.417685673,3.082428973,7.254581686,3.217167049,6.850367457,3.273898871,5.992298655,3.6142898,4.276161052,3.869582997,3.765574658,3.812851176,2.964237678,3.642655711,2.169992176,3.451185813,2.290547297,3.06115454,2.730218914,3.103703406,3.801032046,3.15334375
21,AL2014,11,B,2.498752988,3.302514592,2.966825922,3.011742011,3.420714828,2.813165615,4.527069036,2.550761091,5.229178437,2.529485049,6.165324306,2.635865261,7.72556742,2.969189927,8.10144417,2.997557983,8.349664666,3.089754167,8.108536185,3.238686464,7.81067159,3.245778479,6.739777453,3.664207314,4.966773914,3.905335795,4.420688824,3.841507668,3.633475252,3.763495512,2.81080161,3.635839257,2.973917936,3.167766323,3.449082884,3.153582295,4.470332923,3.23159445
22,AL2014,12,B,2.859871046,3.103314614,3.285306408,2.862234576,3.781647664,2.649516895,4.639608978,2.47934275,5.249399663,2.514795696,6.07899862,2.578611001,7.128405846,2.833872218,7.582203566,2.869325165,7.773649479,2.933140469,7.617656513,3.067861667,7.163858793,3.160039329,6.390984552,3.48620644,5.128859644,3.628018228,4.639608978,3.613837049,3.923459451,3.528749976,3.207309925,3.450753493,3.313668765,3.004046363,3.767466485,2.940231059,4.774330176,2.947321648
23,AL2014,13,B,2.302320654,3.226105983,2.680882167,3.033253891,3.059443681,2.868972479,4.223698903,2.633264367,4.88082455,2.611836357,6.059365112,2.697548398,7.387901745,3.190392633,7.773605929,3.283247344,7.952172681,3.404672735,7.752177919,3.511812786,7.409329756,3.511812786,6.445069296,3.726092888,4.759399159,3.976086341,4.195128223,3.94037299,3.338007814,3.790376919,2.566599446,3.661808857,2.673739497,3.247533993,3.109442372,3.254676663,4.237984243,3.268962003
24,AL2014,14,B,2.569673129,3.11103021,3.051930092,2.869901728,3.463266913,2.699693389,4.562529107,2.408920808,5.229178437,2.380552752,6.25752049,2.444380879,7.512806996,2.884085757,7.952511873,2.869901728,8.115628199,2.997557983,8.016340001,3.160674309,7.498622967,3.23159445,6.775237523,3.543643073,5.087338154,3.798955583,4.505792994,3.77767954,3.676027337,3.621655229,2.917181823,3.48690696,3.051930092,3.047202082,3.512911012,3.061386111,4.654725291,3.118122224
25,AL2014,15,B,2.307268605,2.978645945,2.676053341,2.827349643,2.978645945,2.713877417,4.02826404,2.486932964,4.690185362,2.482204954,5.562503103,2.581493153,6.831973637,3.007014002,7.144022259,3.070842129,7.328414628,3.19140637,7.09437816,3.27651054,6.810697594,3.304878597,5.952563881,3.574375134,4.456148894,3.716215418,3.980983946,3.645295276,3.087390162,3.48217895,2.527121044,3.375798738,2.661869313,2.98573796,3.037746063,2.999921988,4.002259989,3.028290044
26,AL2014,16,B,2.73286052,2.921985816,3.229314421,2.687943262,3.669030733,2.539007092,4.555555556,2.382978723,5.130023641,2.361702128,5.973995272,2.382978723,7.271867612,2.602836879,7.612293144,2.581560284,7.754137116,2.687943262,7.576832151,2.843971631,7.222222222,2.957446809,6.293144208,3.333333333,5.030732861,3.503546099,4.498817967,3.524822695,3.768321513,3.418439716,3.037825059,3.276595745,3.229314421,2.836879433,3.676122931,2.836879433,4.576832151,2.936170213
27,AL2014,17,B,2.449108888,3.19140637,2.89590578,2.90063379,3.335610658,2.73042545,4.463240909,2.43965287,5.222086423,2.432560855,6.356808688,2.567309124,7.732659434,2.93609386,8.094352156,2.964461917,8.314204595,3.049566087,8.143996255,3.184314356,7.81067159,3.27651054,6.761053495,3.765859517,5.094430168,3.850963687,4.342676668,3.872239729,3.520003026,3.680755347,2.746973483,3.546007078,2.89590578,3.070842129,3.342702672,3.049566087,4.484516951,3.085026158
28,AL2014,18,B,2.413466243,3.354268951,2.82477195,3.148616098,3.25735209,2.9571462,4.278524878,2.666395615,4.916757871,2.645121182,5.774826672,2.666395615,7.008743792,2.964237678,7.412958021,3.013878022,7.505147231,3.14152462,7.441323932,3.283354174,7.037109703,3.340085996,6.129400557,3.680476926,4.874209005,3.9428616,4.285616356,3.964136033,3.477187898,3.91449569,2.746765695,3.801032046,2.838954905,3.340085996,3.292809478,3.325903041,4.370714088,3.304628607
